TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
NIPPUR 8412,1757,Hammurapi,36,-,-,z - legal (land rental),Nippur (unprov),Legal - Land Rental,,,-,-,Ist Ni 09238,-,P313187,-,ARN 069,-
UR 765,1757,Hammu-rabi,36,9, 11,Ili-ippalsam,"Ur's Neighborhood (AH), Store Street no 1",Legal - deposition,room 8,Grave 333,U 17206k,-,IM 057303,T13061,P415142,IM 57303 = U.17206K,UET 5 255,UET 5 255
NIPPUR 4416,1756,Hammurapi,37,11,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (Penn excavations),Legal - Building Plan,S1,,-,-,CBS 03426 & CBS 03426a,-,P259800,-,"BE 06 /2, 014",-
NIPPUR 339,1756,Hammurapi,37,5, 5,CRH - Administrative (sheep),Nippur (Hilprecht),Administrative - Delivery (animal),,,-,-,HS 2237,T23513,P512665,HS 2237,TMH 10 136,TMH 10 136
NIPPUR 8413,1755,Hammurapi,38,-,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (unprov),Legal - Exchange of property,,,-,-,Ist Ni 09239,-,P313188,-,ARN 070,-
NIPPUR 537,1755,Hammurapi,38,10,13,TA - House H: Legal (loan),Nippur's Tablet Hill (TA),Legal - Loan (silver),187,XA-3,3N-T0159,-,IM 058346,-,P224360,-,SAOC 44 57,-
NIPPUR 10827,1755,Hammurapi,38,12,16,z- Siyatum,Nippur Mound IV,Legal - Loan (barley),,,-,-,Ist Ni 00439,-,P453316,-,"BE 06 /2, 015",-
NIPPUR 394,1755,Hammurapi,38,6-bis, -,CRH,Nippur (Hilprecht),Administrative - Expenditures (wool),,,-,-,HS 2233,T23570,P512721,HS 2233,TMH 10 193,TMH 10 193
NIPPUR 8414,1754,Hammurapi,39,-,-,z - Legal (silver),Nippur (unprov),Administrative - Delivery (silver),,,-,-,Ist Ni 00946,-,P313189,-,ARN 071,-
NIPPUR 4422,1754,Hammurapi,39,6,-,z - Legal (loan),Nippur's Tablet Hill (TA),Legal - Loan (barley),S1,,-,-,CBS 03803,-,P260176,-,"BE 06 /2, 016",-
NIPPUR 4714,1754,Hammurapi,39,8,17,TA - House I?: Damiq-ilishu (Nabi-Shamash),Nippur (PBS 8),Legal - Loan (barley),,,-,-,CBS 07191,-,P262223,-,"PBS 08 /2, 119",-
UR 934,1754,Hammu-rabi,39,10, 20,legal (guarantee),Ur (unprov),Legal - Guarantee,,,U �,-,UM 52-30-165,T12493,P415303,UM 52-30-165 // U.31569+U.31573+U.31350,UET 5 425,UET 5 425
NIPPUR 280,1753,Hammurapi,40,11, 1,TA - House I?: Damiq-ilishu (Nabi-Shamash),Nippur (Hilprecht),Legal - Loan (barley),,,-,-,HS 2111,T23446,P512603,HS 2111,TMH 10 70,TMH 10 70
NIPPUR 225,1753,Hammurapi,40,6, 21,TB - House ?: Lu-Ursaggal,Nippur (Hilprecht),Legal - Inheritance,,,-,-,HS 2096,T23288,P504410,HS 2096,TMH 10 17,TMH 10 17
NIPPUR 8415,1752,Hammurapi,41,-,-,z - legal (land sale),Nippur (unprov),Legal - Land Sale,,,-,-,Ist Ni 09240,-,P313190,-,ARN 072,-
UR 1929,1752,Hammurapi,41,1,26,Sin-mushtal,"Ur (NCBT, Yale)",Legal - Palastgeschafte,,,-,-,NCBT 01812,-,P303852,-,"Archibab 4, 471-472",-
NIPPUR 4710,1752,Hammurapi,41,3,20,CRH - Administrative (tab account),Nippur (PBS 8),Administrative - grain accounts,,,-,-,CBS 07185,-,P262217,-,"PBS 08 /2, 126",-
NIPPUR 307,1752,Hammurapi,41,4, -,x - Civic (Andurraru),Nippur (Hilprecht),Legal - no-contestation,,,-,-,HS 2131,T23478,P512633,HS 2131 // HS 2109,TMH 10 103,TMH 10 103
NIPPUR 288,1752,Hammurapi,41,6, -,TA - House I?: Damiq-ilishu,Nippur (Hilprecht),Legal - Loan (beams),,,-,-,HS 2434,T23455,P273909,HS 2434,TMH 10 79,TMH 10 79
NIPPUR 4667,1752,Hammurapi,41,6,-,TA - House I?: Damiq-ilishu (Nabi-Shamash),Nippur (PBS 8),legal - debt note,,,-,-,CBS 07107,-,P262146,-,"PBS 08 /2, 124",-
NIPPUR 10829,1752,Hammurapi,41,7,-,z - Legal (house sale),Nippur Mound IV,Legal - House sale,,,-,-,Ist Ni 01998,-,P453318,-,"BE 06 /2, 018",-
NIPPUR 8416,1751,Hammurapi,42,-,-,z - Legal (loan),Nippur (unprov),Legal - Loan (barley),,,-,-,Ist Ni 09241,-,P313191,-,ARN 073,-
NIPPUR 8417,1751,Hammurapi,42,-,-,TA - House I?: Damiq-ilishu?,Nippur (unprov),Legal - Loan (barley),,,-,-,Ist Ni 09242,-,P313192,-,ARN 074,-
NIPPUR 299,1751,Hammurapi,42,1, 20,"z - legal (hired, mention of karum)",Nippur (Hilprecht),Legal - Work hire,,,-,-,HS 2377,T23470,P512625,HS 2377,TMH 10 94,TMH 10 94
NIPPUR 11105,1751,Hammurapi,42,11,-,z - Legal (loan),Nippur's Tablet Hill (TA),Legal - Loan (barley),,dump,3N-T0210,-,IM 058379 ?,-,P500456,-,SAOC 44 61,-
